hour,day_of_week,weather_condition,traffic_flow
6,6,rain,131
19,0,snow,452
14,1,clear,208
10,5,clear,237
7,5,clear,109
20,4,rain,452
6,5,rain,354
18,2,rain,368
22,6,rain,415
10,3,snow,260
10,4,snow,455
23,2,rain,201
20,2,snow,158
3,0,clear,125
7,5,clear,79
23,1,clear,363
2,1,rain,166
21,4,clear,464
20,6,snow,405
1,1,rain,241
23,3,snow,68
11,1,clear,481
5,4,clear,222
1,1,clear,277
20,3,rain,399
0,0,snow,232
11,6,rain,162
21,4,rain,232
11,0,clear,195
16,0,rain,368
9,0,rain,165
15,2,clear,162
14,6,rain,300
14,5,clear,300
18,6,clear,352
11,2,clear,362
22,5,clear,167
19,6,rain,350
2,0,clear,210
4,4,clear,450
18,5,rain,247
6,3,rain,309
20,3,snow,197
8,1,rain,289
6,5,rain,96
17,4,snow,448
3,2,rain,247
13,0,rain,96
17,1,rain,127
8,3,rain,173
20,2,snow,124
1,2,rain,408
19,0,rain,186
14,5,snow,139
6,3,clear,449
11,4,snow,374
7,2,clear,110
14,0,snow,187
2,4,snow,99
13,5,rain,308
16,3,clear,156
3,5,rain,162
17,2,clear,399
7,4,snow,303
3,4,snow,167
1,4,clear,247
5,2,rain,386
21,2,rain,414
9,5,rain,100
3,1,rain,294
21,5,snow,452
17,3,snow,475
11,0,snow,84
1,4,snow,351
9,1,snow,459
3,0,rain,118
13,1,rain,398
15,6,rain,369
14,5,rain,470
7,2,snow,98
13,4,snow,454
22,5,snow,123
7,0,clear,241
20,6,rain,310
15,6,rain,405
12,6,snow,119
17,0,rain,139
14,0,rain,309
20,0,snow,175
23,0,clear,280
12,6,clear,344
8,6,clear,468
14,1,snow,178
12,5,rain,329
0,4,snow,362
6,2,snow,149
8,6,rain,375
23,2,clear,346
0,5,clear,231
11,5,snow,223
7,2,clear,365
23,6,snow,413
10,2,snow,237
18,1,rain,106
16,3,rain,80
7,6,rain,133
2,6,snow,201
2,4,rain,85
0,0,clear,262
4,3,clear,463
9,5,snow,457
6,6,snow,413
8,2,rain,155
6,3,snow,463
8,4,snow,391
7,5,clear,269
11,0,clear,440
1,0,rain,212
0,4,snow,488
15,4,snow,269
22,2,clear,319
22,6,snow,169
23,0,clear,443
4,5,rain,385
2,3,clear,449
11,5,snow,231
7,1,rain,155
21,1,clear,266
2,4,clear,254
0,2,rain,119
2,1,rain,93
4,0,clear,378
14,5,snow,350
13,5,clear,277
2,4,rain,233
0,6,clear,156
4,6,rain,133
22,3,rain,387
13,4,snow,299
6,3,rain,412
8,6,rain,490
14,4,snow,70
14,4,rain,245
9,4,snow,227
12,6,snow,466
18,3,rain,56
6,3,rain,119
16,4,clear,176
19,1,snow,448
3,2,clear,209
4,6,rain,297
22,2,clear,252
6,2,snow,197
12,3,clear,192
14,3,snow,481
10,1,rain,248
3,2,rain,454
12,2,snow,475
6,4,rain,203
18,3,rain,425
21,2,rain,433
1,5,rain,191
9,1,snow,362
12,5,clear,214
20,5,clear,363
5,6,rain,70
11,6,clear,131
11,1,clear,118
19,5,rain,180
10,2,rain,136
22,3,clear,267
6,1,snow,470
0,4,rain,354
0,5,snow,452
19,1,clear,420
12,0,rain,394
8,0,snow,390
2,6,rain,433
6,3,clear,445
5,2,snow,494
7,3,clear,474
8,3,clear,210
4,3,rain,227
0,3,snow,166
18,4,clear,245
9,4,clear,432
11,6,snow,376
23,1,clear,135
14,0,clear,338
21,3,snow,130
23,6,snow,201
8,1,snow,110
19,0,snow,110
16,5,rain,403
16,2,snow,77
19,4,rain,491
11,5,rain,92
6,0,rain,218
1,5,clear,472
2,2,rain,135
16,6,rain,226
4,0,clear,66
16,5,clear,147
23,4,clear,247
16,4,snow,147
16,1,clear,114
1,5,clear,379
1,3,rain,390
21,5,clear,54
22,6,snow,51
4,0,clear,71
0,0,snow,161
0,6,clear,106
18,5,clear,115
1,6,clear,379
20,2,clear,147
11,6,snow,193
5,4,snow,417
22,6,rain,484
3,0,snow,174
22,4,clear,216
10,0,rain,135
23,1,rain,125
16,3,rain,393
5,0,clear,473
23,4,snow,343
4,1,clear,493
19,0,rain,108
1,2,clear,187
5,6,clear,148
21,3,snow,241
10,0,snow,292
15,1,rain,368
15,2,clear,98
0,5,clear,497
8,1,snow,81
5,6,clear,440
15,1,clear,326
2,2,clear,69
19,1,snow,203
3,2,rain,432
18,0,rain,117
2,2,clear,415
18,2,rain,421
19,3,snow,263
6,2,snow,192
19,2,rain,425
8,5,rain,281
0,0,clear,262
7,6,rain,128
6,3,clear,263
17,5,clear,165
7,4,snow,141
0,0,snow,319
10,0,snow,460
17,4,snow,430
22,6,rain,217
9,2,snow,107
2,5,rain,333
6,1,snow,75
15,3,rain,418
15,1,clear,496
19,4,rain,115
16,0,rain,458
1,6,snow,297
0,0,rain,303
15,3,clear,436
11,0,clear,93
4,0,snow,146
4,3,clear,91
22,5,rain,276
8,5,clear,311
8,3,snow,216
2,6,rain,485
18,4,snow,328
15,0,rain,138
15,6,clear,428
2,0,snow,227
19,4,snow,476
23,5,rain,452
21,6,snow,246
23,2,rain,356
0,2,rain,316
23,2,rain,317
19,5,rain,123
10,5,clear,57
16,4,rain,457
7,0,snow,346
3,4,clear,213
5,4,snow,134
7,5,clear,121
19,2,rain,104
2,1,clear,442
15,0,clear,96
2,5,snow,448
17,2,snow,481
13,6,rain,287
17,1,clear,153
1,1,clear,259
21,5,clear,91
2,3,rain,365
15,0,rain,317
8,1,rain,435
3,5,rain,312
0,5,rain,385
3,2,snow,436
0,6,clear,414
13,3,clear,308
20,0,clear,332
15,4,clear,163
19,6,clear,412
23,6,clear,89
7,2,clear,466
6,1,clear,269
2,1,snow,178
16,2,clear,57
0,5,snow,150
15,1,rain,465
11,3,clear,429
18,0,rain,225
21,6,rain,156
22,6,rain,150
21,3,snow,309
13,1,rain,415
5,6,rain,295
5,4,rain,324
12,0,clear,81
18,0,clear,186
21,6,snow,61
7,2,snow,444
1,6,clear,351
20,2,snow,424
0,6,clear,65
14,4,rain,178
0,5,rain,112
4,0,snow,158
15,6,clear,424
18,4,clear,70
3,2,snow,207
2,2,clear,318
16,0,rain,211
16,3,snow,309
11,6,snow,461
13,1,clear,151
20,2,snow,272
5,5,clear,108
2,5,clear,296
8,2,clear,177
4,3,clear,332
23,3,clear,374
16,4,snow,74
13,5,rain,180
20,4,rain,402
2,5,snow,245
0,6,snow,330
19,6,rain,453
